cs_year,complaint,date_occur,crime,description,ileads_address,ileads_street,neighborhood,region,gw_source,gw_address,gw_score,x,y
2017,17-051112,09/18/2017 12:00,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4127,OSCEOLA ST,5,South,NA,NA,NA,-90.26135319444046,38.58710267796192
2017,17-046141,09/18/2017 12:05,64701,LARCENY-FROM MTR VEH UNDER $500,1700,KOSCIUSKO ST,20,Southeast,NA,NA,NA,-90.19563522757385,38.60620471092566
2017,17-046258,09/18/2017 13:00,65701,LARCENY-MTR VEH PARTS UNDER $500,2025,MAURY AVE,13,South,NA,NA,NA,-90.26287473129157,38.61527905571114
2017,17-048556,09/18/2017 13:08,69702,LARCENY-ALL OTHER UNDER $500,3827,MORGANFORD RD,5,South,NA,NA,NA,-90.26471040844658,38.58978127507925
2017,17-046119,09/18/2017 13:23,67701,LARCENY-FROM BUILDING UNDER $500,3101,CHOUTEAU AVE,37,Midtown,NA,NA,NA,-90.22765280277989,38.625131639339386
2017,17-046115,09/18/2017 13:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1100,CHESTNUT ST,35,Downtown,NA,NA,NA,-90.19609762448403,38.62790969123744
2017,17-046708,09/18/2017 15:00,52312,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,9215,RIVERVIEW DR,75,North NonHayden,NA,NA,NA,-90.2185018260784,38.7322411019251
2017,17-046268,09/18/2017 15:05,67701,LARCENY-FROM BUILDING UNDER $500,4015,MCPHERSON AVE,38,Midtown,NA,NA,NA,-90.24347054927831,38.6410992061841
2017,17-047399,09/18/2017 15:06,21000,RAPE -- FORCIBLE,3700,OHIO AVE,19,Southeast,"city api, batch","3700 Ohio Ave, 63118",100,-90.22857321178283,38.58804064529289
2017,17-046756,09/18/2017 15:15,67701,LARCENY-FROM BUILDING UNDER $500,4970,OAKLAND AVE,40,Forest Park,NA,NA,NA,-90.26802448238891,38.62832702890348
2017,17-046122,09/18/2017 15:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4031,DRYDEN AVE,69,North Hayden,NA,NA,NA,-90.2391110846646,38.674930116868026
2017,17-046216,09/18/2017 16:00,65601,"LARCENY-MTR VEH PARTS $500 - $24,999",4068,PAGE BLVD,58,North NonHayden,NA,NA,NA,-90.23848050771478,38.65049016123579
2017,17-046126,09/18/2017 16:00,31111,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5848,BARTMER AVE,48,North NonHayden,NA,NA,NA,-90.28730118264058,38.66284410663137
2017,17-046205,09/18/2017 16:00,65701,LARCENY-MTR VEH PARTS UNDER $500,6005,DEWEY AVE,3,South,NA,NA,NA,-90.25965677209189,38.56725453408708
2017,17-046221,09/18/2017 16:25,67701,LARCENY-FROM BUILDING UNDER $500,2753,CHEROKEE ST,30,Southeast,NA,NA,NA,-90.22961369658086,38.594087971350874
2017,17-046137,09/18/2017 16:30,43016,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,1410,LASALLE ST,33,Downtown,NA,NA,NA,-90.20533966438194,38.618685069415
2017,17-046238,09/18/2017 16:30,69702,LARCENY-ALL OTHER UNDER $500,3843,S GRAND BLVD,16,Southeast,NA,NA,NA,-90.2450301227718,38.5871698567749
2017,17-046129,09/18/2017 16:34,63701,LARCENY-SHOPLIFT UNDER $500,5900,DELMAR BLVD,46,Forest Park,NA,NA,NA,-90.29094587421692,38.654319139743215
2017,17-046352,09/18/2017 17:00,67601,"LARCENY-FROM BUILDING $500 - $24,999",8519,LOWELL ST,74,North NonHayden,NA,NA,NA,-90.22829001007301,38.71822460505299
2017,17-046232,09/18/2017 17:00,64701,LARCENY-FROM MTR VEH UNDER $500,1832,S 8TH ST,21,Southeast,NA,NA,NA,-90.20269382771873,38.60845529642627
2017,17-046177,09/18/2017 17:30,71030,AUTO THEFT-PERM RETNT/JOY RIDE,4018,N 20TH ST,65,North NonHayden,NA,NA,NA,-90.20477526144535,38.664644727509206
2017,17-046224,09/18/2017 18:00,71030,AUTO THEFT-PERM RETNT/JOY RIDE,3901,N KINGSHIGHWAY BLVD,70,North Hayden,NA,NA,NA,-90.2522530689834,38.67876176153224
2017,17-046169,09/18/2017 18:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5835,SELBER CT,50,North NonHayden,NA,NA,NA,-90.2728327103725,38.6839164041666
2017,17-046198,09/18/2017 18:00,71030,AUTO THEFT-PERM RETNT/JOY RIDE,1627,LOCUST ST,36,Downtown,NA,NA,NA,-90.20377237368457,38.632372268574684
2017,17-046274,09/18/2017 19:00,64701,LARCENY-FROM MTR VEH UNDER $500,4534,OLIVE ST,38,Midtown,NA,NA,NA,-90.25635173003276,38.64843636341516
